"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"10041","Normal/Others","WS/MP18062/2024-2025/154053-Construction of roads, link roads, pathways or any other road with or without drainage system","Haryana","JIND(DEPUTY COMMISSIONER JIND)","JAI PARKASH","HISAR","Construction of IPB street from Jaand to PWD road","22-Nov-2024","28-Mar-2025","1000000","Work Completed"
"10042","Normal/Others","WS/MP18062/2024-2025/154054-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of additional work in General Chopal","22-Nov-2024","03-Feb-2025","499863","Sanction"
"10043","Normal/Others","WS/MP18062/2025-2026/154055-Construction of common work sheds/ common covered sitting area","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of shed and IPB flooring in Ravidass Dharmshal (SC)","22-Nov-2024","26-May-2025","699728","Vendor Identification"
"10044","Normal/Others","WS/MP18062/2024-2025/154056-Renovation of ponds and lakes","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of retaining wall of Bhilam pana pond towards Rajender field","22-Nov-2024","03-Feb-2025","500000","Vendor Identification"
"10045","Normal/Others","WS/MP18062/2024-2025/154057-Construction of public libraries and reading rooms","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","Construction of library near Govt. school Khedar","22-Nov-2024","31-Jan-2025","999900","Sanction"
"10046","Normal/Others","WS/MP18062/2024-2025/154058-Construction of roads, link roads, pathways or any other road with or without drainage system","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","JAI PARKASH","HISAR","Construction of IPB street from Jind Bhiwani Road to Nand Kishor s/o Devi Ram house","22-Nov-2024","21-Jan-2025","500000","Work partially Completed"
"10047","Normal/Others","WS/MP18393/2024-2025/154059-Construction of public libraries and reading rooms","Telangana","SIDDIPET(District Collector Siddipet_IDA)","MADHAVANENI RAGHUNANDAN RAO","MEDAK","Construction of reading room at BC Wada","22-Nov-2024","01-Feb-2025","500000","Work Completed"
"10048","Normal/Others","WS/MP18234/2024-2025/154060-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Magraura ke gram Dohri me Nehar se RGP Public School tak Interlocking road.","22-Nov-2024","05-Feb-2025","407497","Physical Inspection"
"10049","Normal/Others","WS/MP18234/2024-2025/154061-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Aspur Devsara ke gram Damrih me Interlocking road se Ashok ke ghar tak.","22-Nov-2024","05-Feb-2025","306483","Physical Inspection"
"10050","Normal/Others","WS/MP18234/2024-2025/154062-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Aspur Devsara ke gram Ramaipur Nevada me Pakki Sadak se Shyam Shankar ke ghar hote hue Yadav Basti tak Interlocking road.","22-Nov-2024","05-Feb-2025","385000","Physical Inspection"
"10051","Normal/Others","WS/MP18234/2024-2025/154063-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Patti ke gram sabha Birauti me Khadanja se kotedar ke ghar hote hue Saroj Basti tak Interlocking road.","22-Nov-2024","05-Feb-2025","269000","Physical Inspection"
"10052","Normal/Others","WS/MP18234/2024-2025/154064-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Magraura ke gram Utaras me Ramsurat Vishwakarma ke ghar ke pass Khadanje se Jokhuram ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","300000","Sanction"
"10053","Normal/Others","WS/MP18234/2024-2025/154065-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Patti ke gram Jogipur (Kairi) me Fullan ke ghar se Naseem ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","411556","Physical Inspection"
"10054","Normal/Others","WS/MP18234/2024-2025/154066-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Patti ke Fattupur main road se Gulab Verma ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","303865","Physical Inspection"
"10055","Normal/Others","WS/MP18234/2024-2025/154068-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Patti ke Deyideeh Dhavrahra me Jaiprakash ke ghar ke samne Pich road se Dr. Chandra Prakash ke ghar hote hue basti tak Interlocking road.","22-Nov-2024","05-Feb-2025","371000","Physical Inspection"
"10056","Normal/Others","WS/MP18393/2024-2025/154070-Construction of public libraries and reading rooms","Telangana","SIDDIPET(District Collector Siddipet_IDA)","MADHAVANENI RAGHUNANDAN RAO","MEDAK","Construction of reading room at ST Colony","22-Nov-2024","01-Feb-2025","500000","Work Completed"
"10057","Normal/Others","WS/MP18393/2024-2025/154072-Construction of public libraries and reading rooms","Telangana","SIDDIPET(District Collector Siddipet_IDA)","MADHAVANENI RAGHUNANDAN RAO","MEDAK","Construction of reading rooms at padmashaliwada","22-Nov-2024","01-Feb-2025","300000","Work Completed"
"10058","Normal/Others","WS/MP18393/2024-2025/154073-Construction of public libraries and reading rooms","Telangana","SIDDIPET(District Collector Siddipet_IDA)","MADHAVANENI RAGHUNANDAN RAO","MEDAK","Construction of reading room at Mudiraj Wada","22-Nov-2024","01-Feb-2025","100000","Physical Inspection"
"10059","Normal/Others","WS/MP18393/2024-2025/154074-Construction of public libraries and reading rooms","Telangana","SIDDIPET(District Collector Siddipet_IDA)","MADHAVANENI RAGHUNANDAN RAO","MEDAK","Construction of reading room at BC Colony","22-Nov-2024","01-Feb-2025","100000","Work Completed"
"10060","Normal/Others","WS/MP498/2024-2025/154076-Lighting of public spaces","West Bengal","Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA)","Dr Sukanta Majumdar","BALURGHAT","Set up lighting system at lawn tennis court of 1928 club premises . Balurghat","04-Dec-2024","15-Jan-2025","599058","Physical Inspection"
"10061","Normal/Others","WS/MP18234/2024-2025/154081-Lighting of public spaces","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Sangipur me Raja Bali Dham Rahatikar me 1 nag 9 metre (4x200) watt Highmast Light.","22-Nov-2024","05-Feb-2025","185900","Work partially Completed"
"10062","Normal/Others","WS/MP18234/2024-2025/154082-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Sangipur me Raja Bali Dham Rahatikar me Interlocking road.","22-Nov-2024","05-Feb-2025","363686","Physical Inspection"
"10063","Normal/Others","WS/MP18234/2024-2025/154084-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Aspur devsara ke Akaripur me Interlocking sadak se Bholanath Purv Pradhan ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","277626","Physical Inspection"
"10064","Normal/Others","WS/MP18234/2024-2025/154085-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Baba Belkhar Nath Dham ke gram sabha Kithauli me pakki sadak se basti hote hue Rajkumar ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","379531","Physical Inspection"
"10065","Normal/Others","WS/MP18234/2024-2025/154086-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Sadar Bhupiyamau Prayagraj Marg me gram Dangaita Mukhya marg se Veerendra ke ghar tak interlocking road","22-Nov-2024","05-Feb-2025","380000","Sanction"
"10066","Normal/Others","WS/MP18234/2024-2025/154091-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Shivgarh ke gram sabha Bhojeymau me Pakki Sadak se Zafar Ali ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","324626","Physical Inspection"
"10067","Normal/Others","WS/MP18234/2024-2025/154092-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Shivgarh ke gram sabha Rubipur me Durga Yadav ke ghar se Udayraj ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","339522","Physical Inspection"
"10068","Normal/Others","WS/MP18234/2024-2025/154094-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Gaura me gram sabha Rahetuwa Prashrampur me Ayodhya Bind ke ghar se Ramraj Gautam ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","319383","Physical Inspection"
"10069","Normal/Others","WS/MP18234/2024-2025/154095-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Mandhata me gram sabha Halamai Gayaram ke ghar ke bagal pakki sadak se Rajendra ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","377466","Physical Inspection"
"10070","Normal/Others","WS/MP18234/2024-2025/154096-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Baba Belkharnath Dham ke gram sabha Rasuiya me kali sadak se Shyam karam ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","385000","Sanction"
"10071","Normal/Others","WS/MP18234/2024-2025/154097-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Gaura ke gram panchayat Nirbhay Patti Vipin Bind ke ghar se sadak tak Interlocking road.","22-Nov-2024","05-Feb-2025","394348","Physical Inspection"
"10072","Normal/Others","WS/MP18234/2024-2025/154098-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Gaura ke gram panchayat Dhanuha me Bhaiyalal ke ghar se kali sadak tak Interlocking road.","22-Nov-2024","05-Feb-2025","383583","Physical Inspection"
"10073","Normal/Others","WS/MP18234/2024-2025/154099-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Shivgarh ke gram Jagdishpur Purva Medhauli Kala me Nanhe ke dukaan ke samne se Shan Mohammad ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","286370","Physical Inspection"
"10074","Normal/Others","WS/MP498/2024-2025/154102-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA)","Dr Sukanta Majumdar","BALURGHAT","Construction of cc road 100 mt","04-Dec-2024","24-Jan-2025","350000","Sanction"
"10075","Normal/Others","WS/MP18234/2024-2025/154103-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Lakshamanpur ke gramsabha Sandwa Khas me Kandhai ka Purva Indrajeet Saroj ke ghar se Radheyshyam Saroj ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","322495","Physical Inspection"
"10076","Normal/Others","WS/MP18234/2024-2025/154104-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Lakshmanpur ke gram sabha Tikari me primary pathsala ke piche se chauthi lal ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","445000","Sanction"
"10077","Normal/Others","WS/MP18234/2024-2025/154106-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Mandhata ke gram sabha Tikari (Dandi) pakki sadak se Anil ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","355445","Physical Inspection"
"10078","Normal/Others","WS/MP18234/2024-2025/154107-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Lakshamnpur ke gram sabha Sariyapur me Amrauna Minor se Radheyshyam ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","405000","Sanction"
"10079","Normal/Others","WS/MP18234/2024-2025/154108-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Lalganj me gram sabha Kotwashukulpur me Yadunath dham Mandir se Dr. P. V. Yadav ke ghar tak Interlocking road.","22-Nov-2024","05-Feb-2025","325501","Physical Inspection"
"10080","Normal/Others","WS/MP18234/2024-2025/154109-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Sadar me gram panchayat Sakrauli ke gram Yadavpur me Ahmad Ali ke ghar se sadak tak Interlocking road.","22-Nov-2024","05-Feb-2025","337553","Physical Inspection"
"10081","Normal/Others","WS/MP18234/2024-2025/154110-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas Khand Lakshamanpur ke gram Gabi Mahuavan ke nayi basti me Nizam Ali ke ghar se Munna ke ghar ki or Interlocking road.","22-Nov-2024","05-Feb-2025","340000","Sanction"
"10082","Normal/Others","WS/MP498/2024-2025/154111-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA)","Dr Sukanta Majumdar","BALURGHAT","Construction of cc road 100 mt  Booth no.164, Ramkrishnapur","04-Dec-2024","24-Jan-2025","350000","Sanction"
"10083","Normal/Others","WS/MP498/2024-2025/154112-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA)","Dr Sukanta Majumdar","BALURGHAT","Construction of cc road 100 mt at Rasulpur 95 no.Booth Samjhia Anchal From paka rasta to   Gopal Singha house to","04-Dec-2024","24-Jan-2025","349601","Physical Inspection"
"10084","Normal/Others","WS/MP18234/2024-2025/154113-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","Vikas khand Sangipur ke Gram Mangapur Pure Kunjan me Sukhdev Ke ghar se Madaha Se Shree Ram Yadav Ke Ghar tak Interlocking Road","22-Nov-2024","05-Feb-2025","335625","Physical Inspection"
